time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.IMU.header.seq,.IMU.header.stamp.secs,.IMU.header.stamp.nsecs,.IMU.header.frame_id,.IMU.orientation.x,.IMU.orientation.y,.IMU.orientation.z,.IMU.orientation.w,.IMU.orientation_covariance,.IMU.angular_velocity.x,.IMU.angular_velocity.y,.IMU.angular_velocity.z,.IMU.angular_velocity_covariance,.IMU.linear_acceleration.x,.IMU.linear_acceleration.y,.IMU.linear_acceleration.z,.IMU.linear_acceleration_covariance,.MagField.header.seq,.MagField.header.stamp.secs,.MagField.header.stamp.nsecs,.MagField.header.frame_id,.MagField.magnetic_field.x,.MagField.magnetic_field.y,.MagField.magnetic_field.z,.MagField.magnetic_field_covariance,.VNYMR
2023/03/05/23:41:50.172245,0,1678077624,147241353,imu1_frame,0,0,0,,0.004084682824879205,-0.013937612125505316,0.051070854163674344,0.9985894182242527,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00026,0.000949,-0.000304,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.292,-0.071,-10.313,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5429,-0.0727,0.3508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.850,-001.619,+000.386,+00.5429,-00.0727,+00.3508,-00.292,-00.071,-10.313,+00.000260,+00.000949,-00.000304*6A\r\n'"
2023/03/05/23:41:50.172308,0,1678077624,147241353,imu1_frame,0,0,0,,0.004094085408768221,-0.013945809372813728,0.051088427590103555,0.9985883663612217,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000996,-0.000784,-0.000115,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.288,-0.057,-10.263,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.544,-0.0657,0.347,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.852,-001.620,+000.387,+00.5440,-00.0657,+00.3470,-00.288,-00.057,-10.263,+00.000996,-00.000784,-00.000115*64\r\n'"
2023/03/05/23:41:50.220195,0,1678077624,147241353,imu1_frame,0,0,0,,0.004093438506707654,-0.013928309188897307,0.05110580996776296,0.9985877238139217,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.2e-05,-0.000627,8.4e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.299,-0.08,-10.267,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5451,-0.0739,0.3496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.854,-001.618,+000.387,+00.5451,-00.0739,+00.3496,-00.299,-00.080,-10.267,-00.000012,-00.000627,+00.000084*62\r\n'"
2023/03/05/23:41:50.220238,0,1678077624,147241353,imu1_frame,0,0,0,,0.004093560053979076,-0.013928273466377122,0.05111452428764217,0.9985872777935728,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000729,0.000167,-1.1e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.31,-0.068,-10.255,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5406,-0.068,0.3468,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.855,-001.618,+000.387,+00.5406,-00.0680,+00.3468,-00.310,-00.068,-10.255,+00.000729,+00.000167,-00.000011*62\r\n'"
2023/03/05/23:41:50.264281,0,1678077624,147241353,imu1_frame,0,0,0,,0.004093560053979076,-0.013928273466377122,0.05111452428764217,0.9985872777935728,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000626,0.001414,0.000341,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.286,-0.065,-10.271,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5429,-0.0668,0.3507,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.855,-001.618,+000.387,+00.5429,-00.0668,+00.3507,-00.286,-00.065,-10.271,+00.000626,+00.001414,+00.000341*6A\r\n'"
2023/03/05/23:41:50.264316,0,1678077624,147241353,imu1_frame,0,0,0,,0.004093560053979076,-0.013928273466377122,0.05111452428764217,0.9985872777935728,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000785,-0.001569,0.00079,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.3,-0.056,-10.267,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.544,-0.0727,0.3521,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.855,-001.618,+000.387,+00.5440,-00.0727,+00.3521,-00.300,-00.056,-10.267,+00.000785,-00.001569,+00.000790*6E\r\n'"
2023/03/05/23:41:50.308187,0,1678077624,147241353,imu1_frame,0,0,0,,0.004093803147586686,-0.013928202018154657,0.05113195291572212,0.998586385524735,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.1e-05,-0.002204,-0.000185,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.291,-0.058,-10.268,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5429,-0.0739,0.3495,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.857,-001.618,+000.387,+00.5429,-00.0739,+00.3495,-00.291,-00.058,-10.268,-00.000061,-00.002204,-00.000185*6A\r\n'"
2023/03/05/23:41:50.308224,0,1678077624,147241353,imu1_frame,0,0,0,,0.004093033782571589,-0.013910737592775523,0.051140620947620646,0.998586188239739,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000293,-0.000846,0.000745,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.304,-0.073,-10.29,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5429,-0.0738,0.3559,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.858,-001.616,+000.387,+00.5429,-00.0738,+00.3559,-00.304,-00.073,-10.290,+00.000293,-00.000846,+00.000745*63\r\n'"
2023/03/05/23:41:50.356223,0,1678077624,147241353,imu1_frame,0,0,0,,0.004101626700492705,-0.013910327100112292,0.05113202802969953,0.9985865987324022,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001159,-0.001333,-0.000625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.31,-0.07,-10.313,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5463,-0.0728,0.3509,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.857,-001.616,+000.388,+00.5463,-00.0728,+00.3509,-00.310,-00.070,-10.313,+00.001159,-00.001333,-00.000625*68\r\n'"
2023/03/05/23:41:50.356255,0,1678077624,147241353,imu1_frame,0,0,0,,0.004093803147586686,-0.013928202018154657,0.05113195291572212,0.998586385524735,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000125,0.000615,0.00021,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.295,-0.058,-10.248,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5451,-0.0751,0.3509,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.857,-001.618,+000.387,+00.5451,-00.0751,+00.3509,-00.295,-00.058,-10.248,-00.000125,+00.000615,+00.000210*61\r\n'"
2023/03/05/23:41:50.400184,0,1678077624,147241353,imu1_frame,0,0,0,,0.004102841216849396,-0.01393650596366578,0.05112338335901621,0.9985866713357439,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001094,-0.002657,-0.00163,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.305,-0.076,-10.308,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5429,-0.0727,0.3483,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.856,-001.619,+000.388,+00.5429,-00.0727,+00.3483,-00.305,-00.076,-10.308,+00.001094,-00.002657,-00.001630*6D\r\n'"
2023/03/05/23:41:50.405154,0,1678077624,147241353,imu1_frame,0,0,0,,0.004120026618535232,-0.013935685600331085,0.051106197957330374,0.9985874916990786,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.7e-05,-0.001208,-0.000447,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.279,-0.086,-10.28,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5395,-0.075,0.3519,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+005.854,-001.619,+000.390,+00.5395,-00.0750,+00.3519,-00.279,-00.086,-10.280,-00.000037,-00.001208,-00.000447*60\r\n'"
