time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/08:13:13.436986,0,69247,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191407.0,19,T
2023/02/06/08:13:14.436757,0,69248,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191408.0,19,T
2023/02/06/08:13:15.439734,0,69249,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191409.0,19,T
2023/02/06/08:13:16.438554,0,69250,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191410.0,19,T
2023/02/06/08:13:17.439951,0,69251,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191411.0,19,T
2023/02/06/08:13:18.498749,0,69252,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191412.0,19,T
2023/02/06/08:13:19.440246,0,69253,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191413.0,19,T
2023/02/06/08:13:20.439535,0,69254,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191414.0,19,T
2023/02/06/08:13:21.439635,0,69255,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191415.0,19,T
2023/02/06/08:13:22.439012,0,69256,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191416.0,19,T
2023/02/06/08:13:23.471044,0,69257,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191417.0,19,T
2023/02/06/08:13:24.439416,0,69258,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191418.0,19,T
2023/02/06/08:13:25.438536,0,69259,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191419.0,19,T
2023/02/06/08:13:26.469121,0,69260,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191420.0,19,T
2023/02/06/08:13:27.440111,0,69261,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191421.0,19,T
2023/02/06/08:13:28.438286,0,69262,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191422.0,19,T
2023/02/06/08:13:29.438083,0,69263,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191423.0,19,T
2023/02/06/08:13:30.440116,0,69264,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191424.0,19,T
2023/02/06/08:13:31.469513,0,69265,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191425.0,19,T
2023/02/06/08:13:32.437471,0,69266,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191426.0,19,T
2023/02/06/08:13:33.438113,0,69267,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191427.0,19,T
2023/02/06/08:13:34.468862,0,69268,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191428.0,19,T
2023/02/06/08:13:35.439099,0,69269,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191429.0,19,T
2023/02/06/08:13:36.435716,0,69270,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191430.0,19,T
2023/02/06/08:13:37.435745,0,69271,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191431.0,19,T
2023/02/06/08:13:38.435680,0,69272,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.2,0.9,327970.89989354624,4689518.831318305,191432.0,19,T
2023/02/06/08:13:39.435804,0,69273,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.1,0.9,327970.89989354624,4689518.831318305,191433.0,19,T
2023/02/06/08:13:40.435724,0,69274,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.1,0.9,327970.89989354624,4689518.831318305,191434.0,19,T
2023/02/06/08:13:41.435366,0,69275,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.1,0.9,327970.89989354624,4689518.831318305,191435.0,19,T
2023/02/06/08:13:42.436696,0,69276,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.1,0.9,327970.89989354624,4689518.831318305,191436.0,19,T
2023/02/06/08:13:43.435066,0,69277,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.1,1.0,327970.89989354624,4689518.831318305,191437.0,19,T
2023/02/06/08:13:44.433851,0,69278,0,GPS1_FRAME,42.33891666666667,-71.08827833333334,20.1,1.0,327970.89989354624,4689518.831318305,191438.0,19,T
