time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:37:42.518880,0,67842,0,GPS1_FRAME,42.339061666666666,-71.084665,9.2,1.0,328268.9677864597,4689527.628311131,185042.0,19,T
2023/02/06/07:37:43.520674,0,67843,0,GPS1_FRAME,42.33906833333333,-71.08467333333333,9.2,1.0,328268.2994215989,4689528.385424487,185043.0,19,T
2023/02/06/07:37:44.497448,0,67844,0,GPS1_FRAME,42.33907333333333,-71.08468,9.3,1.0,328267.7638223578,4689528.954101095,185044.0,19,T
2023/02/06/07:37:45.519556,0,67845,0,GPS1_FRAME,42.339076666666664,-71.08468666666667,9.4,1.0,328267.2236859104,4689529.337707109,185045.0,19,T
2023/02/06/07:37:46.491776,0,67846,0,GPS1_FRAME,42.339081666666665,-71.08469333333333,9.4,1.0,328266.6880868308,4689529.906383803,185046.0,19,T
2023/02/06/07:37:47.491366,0,67847,0,GPS1_FRAME,42.33908666666667,-71.0847,9.5,1.0,328266.15248784155,4689530.475060543,185047.0,19,T
2023/02/06/07:37:48.490657,0,67848,0,GPS1_FRAME,42.33909166666667,-71.08470666666666,9.5,1.1,328265.6168889407,4689531.043737326,185048.0,19,T
2023/02/06/07:37:49.490891,0,67849,0,GPS1_FRAME,42.33909666666667,-71.084715,9.5,1.1,328264.9439874163,4689531.615780389,185049.0,19,T
2023/02/06/07:37:50.490233,0,67850,0,GPS1_FRAME,42.339101666666664,-71.08472166666667,9.6,1.1,328264.40838870255,4689532.184457269,185050.0,19,T
2023/02/06/07:37:51.492440,0,67851,0,GPS1_FRAME,42.339105,-71.08472666666667,9.6,1.0,328264.0055553766,4689532.5646973,185051.0,19,T
2023/02/06/07:37:52.493899,0,67852,0,GPS1_FRAME,42.33911,-71.08473333333333,9.7,1.1,328263.4699568136,4689533.133374257,185052.0,19,T
2023/02/06/07:37:53.493372,0,67853,0,GPS1_FRAME,42.339115,-71.08474,9.7,1.1,328262.93435833894,4689533.7020512605,185053.0,19,T
2023/02/06/07:37:54.491144,0,67854,0,GPS1_FRAME,42.33912,-71.084745,9.5,1.1,328262.5360626072,4689534.267362019,185054.0,19,T
2023/02/06/07:37:55.489542,0,67855,0,GPS1_FRAME,42.339125,-71.08475333333334,9.4,1.1,328261.86316164996,4689534.839405397,185055.0,19,T
2023/02/06/07:37:56.489579,0,67856,0,GPS1_FRAME,42.33913,-71.08476,9.3,1.1,328261.32756343787,4689535.408082531,185056.0,19,T
2023/02/06/07:37:57.489649,0,67857,0,GPS1_FRAME,42.339133333333336,-71.08476666666667,9.2,1.1,328260.7874278402,4689535.791689071,185057.0,19,T
2023/02/06/07:37:58.492218,0,67858,0,GPS1_FRAME,42.33913833333333,-71.08477333333333,9.2,1.1,328260.2518297917,4689536.36036629,185058.0,19,T
2023/02/06/07:37:59.493210,0,67859,0,GPS1_FRAME,42.33914333333333,-71.08478,9.3,1.0,328259.71623183147,4689536.9290435575,185059.0,19,T
2023/02/06/07:38:00.492555,0,67860,0,GPS1_FRAME,42.339146666666664,-71.08478666666667,9.4,1.0,328259.1760964388,4689537.312650228,185100.0,19,T
2023/02/06/07:38:01.493160,0,67861,0,GPS1_FRAME,42.339151666666666,-71.08479333333334,9.4,1.0,328258.640498638,4689537.881327582,185101.0,19,T
2023/02/06/07:38:02.491578,0,67862,0,GPS1_FRAME,42.339155,-71.0848,9.4,1.0,328258.100363377,4689538.264934338,185102.0,19,T
2023/02/06/07:38:03.492248,0,67863,0,GPS1_FRAME,42.33916,-71.084805,9.4,1.0,328257.70206831,4689538.830245397,185103.0,19,T
2023/02/06/07:38:04.493991,0,67864,0,GPS1_FRAME,42.33916333333333,-71.08481,9.4,1.0,328257.2992357387,4689539.210485837,185104.0,19,T
