time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/08:22:17.435733,0,69791,0,GPS1_FRAME,42.33893333333333,-71.08852833333333,22.0,0.9,327950.34988044586,4689521.187854491,192311.0,19,T
2023/02/06/08:22:18.436420,0,69792,0,GPS1_FRAME,42.33893666666667,-71.08853166666667,21.8,0.9,327950.0843655729,4689521.564740645,192312.0,19,T
2023/02/06/08:22:19.434848,0,69793,0,GPS1_FRAME,42.33894166666666,-71.088535,21.7,0.9,327949.8233963965,4689522.126697484,192313.0,19,T
2023/02/06/08:22:20.433198,0,69794,0,GPS1_FRAME,42.338946666666665,-71.08853666666667,21.5,0.9,327949.69973033055,4689522.685281922,192314.0,19,T
2023/02/06/08:22:21.435744,0,69795,0,GPS1_FRAME,42.338953333333336,-71.08854,21.3,0.9,327949.44330691395,4689523.432309457,192315.0,19,T
2023/02/06/08:22:22.434512,0,69796,0,GPS1_FRAME,42.338955,-71.08854333333333,21.4,0.9,327949.1732464959,4689523.624124972,192316.0,19,T
2023/02/06/08:22:23.467863,0,69797,0,GPS1_FRAME,42.33895833333333,-71.08854666666667,21.4,0.9,327948.90773178625,4689524.001011178,192317.0,19,T
2023/02/06/08:22:24.434733,0,69798,0,GPS1_FRAME,42.33896166666667,-71.08855166666666,21.3,0.9,327948.5049140731,4689524.381269828,192318.0,19,T
2023/02/06/08:22:25.435112,0,69799,0,GPS1_FRAME,42.338966666666664,-71.08855666666666,21.1,0.9,327948.1066421204,4689524.946599178,192319.0,19,T
2023/02/06/08:22:26.435567,0,69800,0,GPS1_FRAME,42.338971666666666,-71.08856,21.0,0.9,327947.8456732456,4689525.508556103,192320.0,19,T
2023/02/06/08:22:27.435345,0,69801,0,GPS1_FRAME,42.33897666666667,-71.088565,21.1,0.9,327947.447401413,4689526.073885496,192321.0,19,T
2023/02/06/08:22:28.434932,0,69802,0,GPS1_FRAME,42.33898333333333,-71.08857,21.0,0.9,327947.053675396,4689526.824285592,192322.0,19,T
2023/02/06/08:22:29.435375,0,69803,0,GPS1_FRAME,42.33898833333333,-71.088575,21.0,0.9,327946.65540370997,4689527.389615035,192323.0,19,T
2023/02/06/08:22:30.435309,0,69804,0,GPS1_FRAME,42.338993333333335,-71.08858,21.1,0.9,327946.25713209057,4689527.9549445035,192324.0,19,T
2023/02/06/08:22:31.434761,0,69805,0,GPS1_FRAME,42.338998333333336,-71.08859,21.3,0.9,327945.4469516751,4689528.530391483,192325.0,19,T
2023/02/06/08:22:32.434164,0,69806,0,GPS1_FRAME,42.339005,-71.0886,21.3,0.9,327944.64131720323,4689529.290909237,192326.0,19,T
2023/02/06/08:22:33.435009,0,69807,0,GPS1_FRAME,42.339011666666664,-71.08860666666666,21.2,0.9,327944.1102887609,4689530.044682031,192327.0,19,T
2023/02/06/08:22:34.434669,0,69808,0,GPS1_FRAME,42.339018333333335,-71.088615,21.2,0.9,327943.44195752253,4689530.80182741,192328.0,19,T
2023/02/06/08:22:35.435058,0,69809,0,GPS1_FRAME,42.339025,-71.08862166666667,21.2,0.9,327942.9109293292,4689531.555600305,192329.0,19,T
2023/02/06/08:22:36.435870,0,69810,0,GPS1_FRAME,42.33903333333333,-71.08863,21.2,0.9,327942.2471442572,4689532.497816485,192330.0,19,T
2023/02/06/08:22:37.435758,0,69811,0,GPS1_FRAME,42.339038333333335,-71.08863666666667,21.2,0.9,327941.71157043293,4689533.066518802,192331.0,19,T
2023/02/06/08:22:38.469857,0,69812,0,GPS1_FRAME,42.339045,-71.088645,21.3,0.9,327941.04323975684,4689533.823664429,192332.0,19,T
2023/02/06/08:22:39.470308,0,69813,0,GPS1_FRAME,42.33905166666667,-71.08865333333334,21.3,0.9,327940.37490922783,4689534.580810124,192333.0,19,T
2023/02/06/08:22:40.435219,0,69814,0,GPS1_FRAME,42.339056666666664,-71.08866,21.5,0.9,327939.83933572,4689535.149512595,192334.0,19,T
2023/02/06/08:22:41.470283,0,69815,0,GPS1_FRAME,42.339061666666666,-71.08866666666667,21.7,0.9,327939.3037623004,4689535.718215106,192335.0,19,T
2023/02/06/08:22:42.436319,0,69816,0,GPS1_FRAME,42.33906833333333,-71.08867,21.8,0.9,327939.04734055605,4689536.465243082,192336.0,19,T
2023/02/06/08:22:43.435403,0,69817,0,GPS1_FRAME,42.339075,-71.088675,22.0,0.9,327938.6536160828,4689537.215643704,192337.0,19,T
2023/02/06/08:22:44.435246,0,69818,0,GPS1_FRAME,42.33908,-71.08868166666667,22.3,0.9,327938.1180429254,4689537.784346319,192338.0,19,T
2023/02/06/08:22:45.436440,0,69819,0,GPS1_FRAME,42.339085,-71.08868833333334,22.6,0.9,327937.58246985613,4689538.353048975,192339.0,19,T
2023/02/06/08:22:46.470683,0,69820,0,GPS1_FRAME,42.33909,-71.08869333333334,22.6,0.9,327937.1841996319,4689538.918379009,192340.0,19,T
2023/02/06/08:22:47.435138,0,69821,0,GPS1_FRAME,42.33909666666667,-71.08869666666666,22.8,0.9,327936.927778253,4689539.665407076,192341.0,19,T
2023/02/06/08:22:48.434927,0,69822,0,GPS1_FRAME,42.339101666666664,-71.0887,23.0,0.9,327936.66681088944,4689540.227364471,192342.0,19,T
2023/02/06/08:22:49.435086,0,69823,0,GPS1_FRAME,42.339108333333336,-71.08870333333333,23.2,0.9,327936.4103896235,4689540.974392561,192343.0,19,T
2023/02/06/08:22:50.435668,0,69824,0,GPS1_FRAME,42.339115,-71.08870833333333,23.3,0.9,327936.0166657154,4689541.724793352,192344.0,19,T
2023/02/06/08:22:51.435360,0,69825,0,GPS1_FRAME,42.339121666666664,-71.08871166666667,23.4,0.9,327935.76024458033,4689542.471821471,192345.0,19,T
2023/02/06/08:22:52.434983,0,69826,0,GPS1_FRAME,42.339128333333335,-71.088715,23.4,0.9,327935.50382350996,4689543.218849602,192346.0,19,T
2023/02/06/08:22:53.433769,0,69827,0,GPS1_FRAME,42.339135,-71.08871833333333,23.7,0.9,327935.2474024978,4689543.965877745,192347.0,19,T
2023/02/06/08:22:54.435581,0,69828,0,GPS1_FRAME,42.33914,-71.08872333333333,23.9,0.9,327934.849132809,4689544.53120793,192348.0,19,T
2023/02/06/08:22:55.435143,0,69829,0,GPS1_FRAME,42.339145,-71.08872833333334,24.2,0.9,327934.4508631844,4689545.09653814,192349.0,19,T
2023/02/06/08:22:56.434031,0,69830,0,GPS1_FRAME,42.339151666666666,-71.08873166666666,24.3,0.9,327934.1944423689,4689545.843566329,192350.0,19,T
2023/02/06/08:22:57.434166,0,69831,0,GPS1_FRAME,42.33916,-71.08873666666666,24.8,0.9,327933.80526513094,4689546.77903795,192351.0,19,T
2023/02/06/08:22:58.434324,0,69832,0,GPS1_FRAME,42.33916166666667,-71.08873833333334,25.7,0.9,327933.6725086557,4689546.967481372,192352.0,19,T
2023/02/06/08:22:59.434026,0,69833,0,GPS1_FRAME,42.33916833333333,-71.08874166666666,26.1,0.9,327933.4160880055,4689547.714509595,192353.0,19,T
2023/02/06/08:23:00.434106,0,69834,0,GPS1_FRAME,42.339175,-71.08874333333333,26.2,0.9,327933.2969699836,4689548.458165082,192354.0,19,T
2023/02/06/08:23:01.434504,0,69835,0,GPS1_FRAME,42.33918,-71.08874666666667,26.4,0.9,327933.03600329056,4689549.020122638,192355.0,19,T
2023/02/06/08:23:02.435282,0,69836,0,GPS1_FRAME,42.339185,-71.08875333333333,26.4,0.9,327932.5004315419,4689549.588825732,192356.0,19,T
2023/02/06/08:23:03.434604,0,69837,0,GPS1_FRAME,42.33918833333333,-71.08876,26.6,0.9,327931.96031370247,4689549.972458183,192357.0,19,T
2023/02/06/08:23:04.433324,0,69838,0,GPS1_FRAME,42.339193333333334,-71.08876666666667,26.8,0.9,327931.4247421153,4689550.541161363,192358.0,19,T
2023/02/06/08:23:05.434289,0,69839,0,GPS1_FRAME,42.3392,-71.08877166666667,27.0,0.9,327931.031019343,4689551.291562476,192359.0,19,T
2023/02/06/08:23:06.435196,0,69840,0,GPS1_FRAME,42.33920666666667,-71.08877833333334,27.1,0.9,327930.4999941568,4689552.04533642,192400.0,19,T
2023/02/06/08:23:07.434666,0,69841,0,GPS1_FRAME,42.33921333333333,-71.088785,27.1,0.9,327929.9689690911,4689552.799110408,192401.0,19,T
